top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
236. Hizmetçi,8.1,2016,2h 25m,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.",Park Chan-wook,"Sarah Waters,Chung Seo,Park Chan","Kim Min,Ha Jung,Cho Jin"
237. Olmak ya da Olmamak,8.1,1942,1h 39m,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"Melchior Lengyel,Edwin Justus Mayer,Ernst Lubitsch","Carole Lombard,Jack Benny,Robert Stack"
238. Into the Wild,8.1,2007,2h 28m,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",Sean Penn,"Sean Penn,Jon Krakauer","Emile Hirsch,Vince Vaughn,Catherine Keener"
239. Cezayir Savaşı,8.1,1966,2h 1m,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"Franco Solinas,Gillo Pontecorvo","Brahim Hadjadj,Jean Martin,Yacef Saadi"
240. Gazap üzümleri,8.1,1940,2h 9m,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,"Nunnally Johnson,John Steinbeck","Henry Fonda,Jane Darwell,John Carradine"
241. Bugün Aslında Dündü,8.0,1993,1h 41m,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,"Danny Rubin,Harold Ramis","Bill Murray,Andie Mac,Chris Elliott"
242. Demir Dev,8.1,1999,1h 26m,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"Tim Mc,Brad Bird,Ted Hughes","Eli Marienthal,Harry Connick,Jennifer Aniston"
243. Paramparça Aşklar Köpekler,8.0,2000,2h 34m,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,Guillermo Arriaga,"Emilio Echevarr,Gael Garc,Goya Toledo"
244. Rebeka,8.1,1940,2h 10m,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,"Daphne Du Maurier,Robert E,Joan Harrison","Laurence Olivier,Joan Fontaine,George Sanders"
245. Duyguların Rengi,8.1,2011,2h 26m,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"Tate Taylor,Kathryn Stockett","Viola Davis,Emma Stone,Octavia Spencer"
246. Parmaklıklar Arkasında,8.1,1967,2h 7m,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,"Donn Pearce,Frank Pierson,Hal Dresner","Paul Newman,George Kennedy,Strother Martin"
247. İki Gönül Bir Olunca,8.1,1934,1h 45m,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,Frank Capra,"Robert Riskin,Samuel Hopkins Adams","Clark Gable,Claudette Colbert,Walter Connolly"
"248. Paris, Texas",8.1,1984,2h 25m,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,"Kit Carson,Sam Shepard,Walter Donohue","Harry Dean,Nastassja Kinski,Dean Stockwell"
249. Kadın Kokusu,8.0,1992,2h 36m,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,"Giovanni Arpino,Bo Goldman,Ruggero Maccari","Al Pacino,Chris O,James Rebhorn"
250. Drishyam,8.2,2015,2h 43m,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"Jeethu Joseph,Upendra Sidhaye","Ajay Devgn,Shriya Saran"
