top_250_film,top_250_film_rating,Year,Time,description,director,writers,stars
143. Casino,8.2,1995,2h 58m,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"Nicholas Pileggi,Martin Scorsese","Robert De,Sharon Stone,Joe Pesci"
144. Ran,8.2,1985,2h 40m,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"Akira Kurosawa,Hideo Oguni,Masato Ide","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu"
145. Altıncı His,8.2,1999,1h 47m,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",M. Night Shyamalan,Night Shyamalan,"Bruce Willis,Haley Joel,Toni Collette"
146. Pan'ın Labirenti,8.2,2006,1h 58m,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,,"Ivana Baquero,Ariadna Gil,Sergi L"
147. Affedilmeyen,8.2,1992,2h 10m,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,Clint Eastwood,David Webb Peoples,"Clint Eastwood,Gene Hackman,Morgan Freeman"
148. İhtiyarlara Yer Yok,8.2,2007,2h 2m,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,Ethan Coen,"Joel Coen,Ethan Coen,Cormac Mc","Tommy Lee,Javier Bardem,Josh Brolin"
149. Şey,8.2,1982,1h 49m,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Bill Lancaster,John W,Campbell Jr","Kurt Russell,Wilford Brimley,Keith David"
150. Akıl Oyunları,8.2,2001,2h 15m,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,"Akiva Goldsman,Sylvia Nasar","Russell Crowe,Ed Harris,Jennifer Connelly"
151. Bill'i Öldür: Bölüm 1,8.2,2003,1h 51m,"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Quentin Tarantino,Uma Thurman","Uma Thurman,David Carradine,Daryl Hannah"
152. Altın Hazineleri,8.2,1948,2h 6m,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,John Huston,"Humphrey Bogart,Walter Huston,Tim Holt"
153. Yojimbo,8.2,1961,1h 50m,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai
154. Büyük Firar,8.2,1963,2h 52m,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,John Sturges,"Paul Brickhill,James Clavell","Steve Mc,James Garner,Richard Attenborough"
155. Monty Python ve Kutsal Kâse,8.2,1975,1h 31m,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,"Graham Chapman,John Cleese,Eric Idle","Graham Chapman,John Cleese,Eric Idle"
156. Kayıp Balık Nemo,8.2,2003,1h 40m,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton,"Andrew Stanton,Bob Peterson,David Reynolds","Albert Brooks,Ellen De,Alexander Gould"
157. Tutsak,8.2,2013,2h 33m,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street.",Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman,Jake Gyllenhaal,Viola Davis"
158. Yürüyen Şato,8.2,2004,1h 59m,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,"Hayao Miyazaki,Diana Wynne Jones","Chieko Baish,Takuya Kimura,Tatsuya Gash"
159. Rasomon: Sarı Irkın Şehveti,8.2,1950,1h 28m,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto","Machiko Ky,Masayuki Mori"
160. Fil Adam,8.2,1980,2h 4m,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"Christopher De Vore,Eric Bergren,David Lynch","Anthony Hopkins,John Hurt,Anne Bancroft"
161. Cinayet var,8.2,1954,1h 45m,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,"Frederick Knott,Charles Dorat","Ray Milland,Grace Kelly,Robert Cummings"
162. Çin Mahallesi,8.1,1974,2h 10m,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Robert Towne,Roman Polanski","Jack Nicholson,Faye Dunaway,John Huston"
163. Rüzgâr gibi geçti,8.2,1939,3h 58m,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,"Margaret Mitchell,Sidney Howard,Oliver H","Clark Gable,Vivien Leigh,Thomas Mitchell"
164. Ateşten Kalbe Akıldan Dumana,8.1,1998,1h 47m,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie,Guy Ritchie,"Jason Flemyng,Dexter Fletcher,Nick Moran"
165. Gözlerindeki Sır,8.2,2009,2h 9m,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,"Eduardo Sacheri,Juan Jos","Ricardo Dar,Soledad Villamil,Pablo Rago"
166. V - V for Vendetta,8.1,2005,2h 12m,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Lilly Wachowski,Lana Wachowski,David Lloyd","Hugo Weaving,Natalie Portman,Rupert Graves"
167. Ters Yüz,8.1,2015,1h 35m,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,"Pete Docter,Ronnie Del Carmen,Meg Le","Amy Poehler,Bill Hader,Lewis Black"
"168. Üç Billboard Ebbing Çıkışı, Missouri",8.1,2017,1h 55m,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Martin Mc,"Frances Mc,Woody Harrelson,Sam Rockwell"
169. Kızgın Boğa,8.1,1980,2h 9m,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Jake La,Joseph Carter,Peter Savage","Robert De,Cathy Moriarty,Joe Pesci"
170. Trainspotting,8.1,1996,1h 33m,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,"Irvine Welsh,John Hodge","Ewan Mc,Ewen Bremner,Jonny Lee"
171. Kwai Köprüsü,8.1,1957,2h 41m,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"Pierre Boulle,Carl Foreman,Michael Wilson","William Holden,Alec Guinness,Jack Hawkins"
172. Klaus: Sihirli Plan,8.2,2019,1h 36m,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Sergio Pablos,Jim Mahoney,Zach Lewis","Jason Schwartzman,Rashida Jones"
173. Sıkıysa Yakala,8.1,2002,2h 21m,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"Frank Abagnale Jr,Stan Redding,Jeff Nathanson","Leonardo Di,Tom Hanks,Christopher Walken"
174. Fargo,8.1,1996,1h 38m,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,"Ethan Coen,Joel Coen","William H,Frances Mc,Steve Buscemi"
175. Büyük Dövüş,8.1,2011,2h 20m,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Gavin O,Anthony Tambakis,Cliff Dorfman","Tom Hardy,Nick Nolte,Joel Edgerton"
176. Örümcek Adam: Eve Dönüş Yok,8.2,2021,2h 28m,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",Jon Watts,"Chris Mc,Erik Sommers,Stan Lee","Tom Holland,Benedict Cumberbatch"
177. Gran Torino,8.1,2008,1h 56m,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Clint Eastwood,"Nick Schenk,Dave Johannson","Clint Eastwood,Bee Vang,Christopher Carley"
178. Harry Potter ve Ölüm Yadigârları: Bölüm 2,8.1,2011,2h 10m,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,Steve Kloves,"Daniel Radcliffe,Emma Watson,Rupert Grint"
179. Milyonluk Bebek,8.1,2004,2h 12m,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",Clint Eastwood,Paul Haggis,"Hilary Swank,Clint Eastwood,Morgan Freeman"
180. Komşum Totoro,8.1,1988,1h 26m,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hayao Miyazaki,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto"
181. Mad Max: Fury Road,8.1,2015,2h,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",George Miller,"George Miller,Brendan Mc,Nick Lathouris","Tom Hardy,Charlize Theron,Nicholas Hoult"
182. Cennetin çocukları,8.2,1997,1h 29m,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,Majid Majidi,"Mohammad Amir,Amir Farrokh,Bahare Seddiqi"
183. Ben-Hur,8.1,1959,3h 32m,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler,"Lew Wallace,Karl Tunberg,Gore Vidal","Charlton Heston,Jack Hawkins,Stephen Boyd"
184. 12 Yıllık Esaret,8.1,2013,2h 14m,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"John Ridley,Solomon Northup","Chiwetel Ejiofor,Michael Kenneth,Michael Fassbender"
185. Barry Lyndon,8.1,1975,3h 5m,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"Stanley Kubrick,William Makepeace Thackeray","Ryan O,Marisa Berenson,Patrick Magee"
186. Gün Doğmadan,8.1,1995,1h 41m,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Richard Linklater,Kim Krizan","Ethan Hawke,Julie Delpy,Andrea Eckert"
187. Ölüm Takibi,8.1,1982,1h 57m,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"Hampton Fancher,David Webb Peoples,Philip K","Harrison Ford,Rutger Hauer,Sean Young"
188. Büyük Budapeşte Oteli,8.1,2014,1h 39m,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"Stefan Zweig,Wes Anderson,Hugo Guinness","Ralph Fiennes,Murray Abraham,Mathieu Amalric"
